,Phrase,Score
108,бизнес-сообщество,1
109,бизнес-центр,0
110,биоразнообразие,1
111,биоресурсы,1
112,биржа,0
113,биржевая облигация,0
114,благодарить,1
115,благодарить за обратную связь,1
116,благополучатель,1
117,благополучие,1
118,благополучный,1
119,благоприятно,1
120,благоприятность,1
121,благоприятные условия,1
122,благоприятный,1
123,благотворительный,1
124,благотворительный фонд,1
125,благоустройство,1
126,блестящий,2
127,бойкот,-1
128,бойкотировать,-1
129,более жёсткий,-1
130,более рискованный,-1
131,больной,-1
132,большой ,0
133,бороться,-1
134,борьба,-1
135,бремя,-1
136,брокер,0
137,брокерский счёт,0
138,будущее,0
139,будущее поколение,0
140,бум,1
141,бумага,0
142,бухгалтерская отчётность,0
143,бухгалтерский,0
144,бухгалтерский баланс,0
145,бухгалтерский отчёт,0
146,бухгалтерский учёт,0
147,бюджет,0
148,бюджетные средства,0
149,бюджетный,0
150,бюджетный дефицит,-2
151,бюджетный профицит,1
152,бюджетный фонд,0
153,в обязательном порядке,0
154,в судебном порядке,-1
155,в судебном процессе,-1
156,валовые выбросы,1
157,валюта,0
158,валютная интервенция,-1
159,валютно-финансовый,0
160,валютный,0
161,валютный риск,-1
162,валютный рынок,0
163,вандализм,-1
164,введенный в заблуждение,-1
165,ввод в эксплуатацию,1
166,вводить,0
167,вводить в заблуждение,-1
168,вводить в эксплуатацию,1
169,вводить новшества,1
170,ввозная таможенная пошлина,-1
171,ведение бизнеса,1
172,ведомство,0
173,ведущий,1
174,вексель ,0
175,великий,2
176,величие,2
177,венчурный фонд,0
178,вердикт,-1
179,верить,1
180,верно,1
181,верный,1
182,версия,0
183,взаимная блокировка,-1
184,взаимодействие,1
185,взаимодействие акционеров и инвесторов,1
186,взаимодействие хозяйственных субъектов,0
187,взнос,0
188,взнос в резервный фонд,0
189,взнос по кредиту,0
190,взятка,-2
191,взяточничество,-2
192,виновность,-1
193,виновный,-1
194,вклад,1
195,вклад на карту,0
196,вкладчик,0
197,включить,1
198,власть,0
199,влияние,0
200,влиятельный,1
201,вложение,1
202,вмешательство,-1
203,вмешиваться,-1
204,внебиржевой,0
205,внебиржевой фондовый рынок,0
206,внедрение,1
207,внедрение новых технологий,1
208,внедрять,1
209,внезапно,-2
210,внезапный,-2
211,внеоборотный актив,0
212,внеплановый,-1
213,внесение изменений,0
214,внесение отдельных изменений,0
215,внешние защитные меры,-1
216,внешний долг,-1
217,внешний мир,0
218,внешний рынок,0
219,внешняя торговля,0
220,вниз,-1
221,внимание,0
222,вновь заявить,0
223,вносить поправки,0
224,внутренний аудит,0
225,внутренний комитет,0
226,внутренний контроль,0
227,внутренний рынок,0
228,вовлечение,1
229,вовлечённость,1
230,водная экосистема,0
231,водопотребление,0
232,возвращение собственности,1
233,воздаяние,-1
234,воздействие на окружающую среду ,-2
235,воздухоочистка,1
236,возмездие,-1
237,возмещать,1
238,возмещение,1
239,возможно,1
240,возможность,1
241,возможный,1
242,вознаграждение,1
243,возобновляемый источник,1
244,возражать,-1
245,возражение,-1
246,возрастать,1
247,возрастающий,1
248,волатильность,-1
249,волнение,-1
250,вопиюще,-2
251,вопиющий,-2
252,вопрос,0
253,вопросительный,0
254,восприимчивость,-1
255,восприимчивый,-1
256,восстание,-2
257,восстановимый,1
258,восстановить,1
259,восстановление,1
260,восхитительно,2
261,впечатление,0
262,впечатляющий,1
263,впутывать,-1
264,враждебность,-2
265,враждебный,-2
266,вред,-2
267,вредно,-2
268,вредный,-2
269,вредоносный,-2
270,временное отстранение от должности,-1
271,время от времени,0
272,всемирное хозяйство,0
273,всемирный экономический форум,1
274,всероссийский конкурс,1
275,встреча,1
276,встречный иск,-1
277,вторжение,-1
278,выброс парниковых газов,-2
279,выбросы,-1
280,выбросы в атмосферу,-1
281,выбросы загрязняющих веществ,-2
282,выбросы пыли,-1
283,выведенный из строя,-1
284,вывоз,0
285,выгода,1
286,выгодная инвестиция,2
287,выгодная сделка,2
288,выгодно,1
289,выгодный,1
290,выгодоприобретатель в сделке,1
291,выдавать кредиты,-1
292,выдача льготного кредита,1
293,выдающийся,2
294,выделенный лимит,0
295,вызвать в суд,-2
296,вызов,-1
297,вызов в суд,-2
298,вызывать,-1
299,вызывающий,-2
300,выигрывать,1
301,выигрыш,1
302,выключение,-1
303,выкуп ценных бумаг,1
304,выкупать собственные акции,1
305,выносить приговор,-1
306,вынужденный,-1
307,выплата ,0
308,выплата вознаграждения,1
309,выплата дивидендов,1
310,выплаченный дивиденд,1
311,выполнение,0
312,выполнимость,1
313,выполнимый,1
314,выполнять,0
315,выпуск ,0
316,выпуск акций,0
317,выпуск ценных бумаг,0
318,вырабатывать,0
319,вырастать,1
320,выселение,-2
321,выселять,-2
322,высмеивание,-1
323,высмеивать,-1
324,высокая добавленная стоимость,1
325,высокий,1
326,высоко,1
327,выход,-1
328,выходить,-1
329,вяло,-1
330,вялый,-1
331,гаджет,0
332,газ,0
333,гарант,1
334,гарантированный,1
335,гарантия,1
336,генеральный директор,0
337,геополитический,0
338,гибель,-2
339,гибель людей,-2
340,гибельный,-2
341,глава,0
342,гладко,1
343,глобальный,0
344,глобальный инновационный индекс,0
345,годовой,0
346,годовой отчёт ,0
347,годовой пик компании,0
348,годовой темп роста,0
349,горе,-2
350,городская среда,1
351,господдержка,1
352,государственная власть,0
353,государственная закупка,0
354,государственная корпорация,0
355,государственная поддержка,1
356,государственная услуга,0
357,государственное муниципальное имущество,0
358,государственное частное партнерство,0
359,государственный,0
360,государственный кредит,0
361,государственный орган,0
362,государство ,0
363,готовая продукция,0
364,гражданин,0
365,гражданское правонарушение,-1
366,граница,0
367,давление,-1
368,данные,0
369,дата совершения сделки,0
370,движение денежных средств,0
371,двойное дно,-2
372,дворовая территория,1
373,двусмысленный,-1
374,дебетовая карта,0
375,дебиторская задолженность,0
376,дебиторский,0
377,деградация,-2
378,деградировать,-2
379,дезинформация,-1
380,дезинформированный,-1
381,дезориентировать,-1
382,действительность,1
383,действительный,1
384,делегация,0
385,делистинг,-2
386,деловой климат,1
387,денежная задолженность,-1
388,денежная эмиссия,0
389,денежное обращение,0
390,денежные средства,0
391,денежный ,0
392,денежный заём,0
393,денежный поток,0
394,деньги,0
395,департамент,0
396,депозит,0
397,депозитарий ,0
398,депозитарная расписка,0
399,депонирование,0
400,депонировать,0
401,дестабилизация,-2
402,дестабилизировать,-2
403,дефект,-1
404,дефектный,-1
405,дефицит,-2
406,дефицит бюджета,-2
407,дефолт ,-2
408,деформация,-1
409,деятельность ,0
410,деятельность компании,0
411,диверсификация,1
412,диверсифицировать,1
413,диверсифицировать портфель,1
414,диверсифицировать риск,1
415,дивиденд,1
416,дивидендная политика,0
417,диджитализация,1
418,динамика,0
419,директива,0
420,дисбаланс,-1
421,дисквалификация,-1
422,дисквалифицировать,-1
423,дискредитация,-1
424,дискредитировать,-1
425,диспропорция,-1
426,диссидент,-1
427,диссоциация,-1
428,дисфункциональный,-1
429,дисфункция,-1
430,дисциплинарный,-1
431,дифференциация,0
432,дифференциация по качеству,0
433,дневной диапозон,0
434,добавлять стоимость,1
435,добросовестный,1
436,добыча,0
437,добыча газа,0
438,добыча на месторождении,0
439,добыча нефти,0
440,добыча полезных ископаемых,0
441,довольный,1
442,договор,0
443,договор аренды,0
444,договор вступил в силу,0
445,договор купли-продажи,0
446,договор поставки,0
447,доказанный,1
448,документированный,0
449,долг,-1
450,долговая ценная бумага,0
451,долговой,0
452,долгосрочная задолженность,0
453,долгосрочная программа,0
454,долгосрочная программа развития,1
455,долгосрочное обязательство,0
456,долгосрочный,0
457,долгосрочный заём,0
458,долгосрочный кредитный заём,0
459,должник,-1
460,должностное преступление,-2
461,должность,0
462,должный,1
463,доллар,0
464,доля,0
465,доля акций,0
466,доля в уставном капитале,0
467,доля принадлежит,0
468,доля участия,0
469,доплата,1
470,дополненный,1
471,допрос,-1
472,допускать,0
473,допустимый,1
474,дорогостоящий,-1
475,дорожная карта,0
476,доставка,0
477,доставлять,0
478,достаток,1
479,достаточно,1
480,достаточность,1
481,достаточный,1
482,достигать,1
483,достижение,1
484,доступное жильё,1
485,доступность,1
486,доступный,1
487,досуг,1
488,досудебный,-1
489,доход ,0
490,доходность,0
491,доходность вклада,0
492,дочернее общество,0
493,дочернее предприятие,0
494,дочерний,0
495,дочерняя компания,0
496,дочерняя организация,0
497,драгоценный металл,0
498,дружелюбный,1
499,дурная слава,-2
500,евро,0
501,еврооблигация,0
502,жалоба,-1
503,жаловаться,-1
504,желание,1
505,желательный,1
506,жертвенный,1
507,жертвовать,1
508,жертвы,-1
509,жилищное кредитование,0
510,заблудший,-1
511,заблуждаться,-1
512,забота,0
513,заброшенный,-1
514,завершать,0
515,зависеть,-1
516,зависимость,-1
517,зависимый,-1
518,завод,0
519,завоевание рынка,1
520,завышение,-1
521,завышенный,-1
522,заговор,-2
523,заговорщик,-2
524,заговорщический,-2
525,загруженность оборудования,0
526,загрязнять ,-2
527,загрязняющие вещества,-1
528,задержание,-2
529,задерживать,-2
530,задержка,-2
531,задним числом,-1
532,задокументированный,0
533,задолженность,-1
534,заемёщик,0
535,заинтересованная сторона,0
536,заинтересованное лицо,0
537,заинтересованный,1
538,заинтересоваться в совершении сделки,1
539,заканчивать,0
540,заключать,0
541,заключать соглашение,1
542,заключённый,-1
543,закон,0
544,законно,1
545,законность,1
546,законный,1
547,законный интерес акционера,0
548,законодательный ,0
549,законодательство,0
550,закономерность взаимодействия,0
551,закрытие,0
552,закрыть,0
553,закрыть в плюс,2
554,закупка,0
555,закупочная деятельность,0
556,закупочная цена,0
557,залог,0
558,замедление,-1
559,замедление темпов роста,-1
560,замедление экономического роста,-1
561,замедлять,-1
562,замешанный,-1
563,занижать,-1
564,занижение,-1
565,занимать должность,0
566,занятость,0
567,занятый,1
568,запас,0
569,запланированный,1
570,запрет,-1
571,запретительно,-1
572,запретительный,-1
573,запретный,-1
574,запрещать,-1
575,запуск,1
576,запускать,1
577,запутанный,-1
578,запущенность,-1
579,запущенный,-1
580,запятнать,-1
581,заработная плата,0
582,заражение,-1
583,заранее,0
584,заседание,0
585,заседание совета,0
586,заседание совета директоров,0
587,заслуженно,1
588,застаиваться,-1
589,застой,-1
590,застойный,-1
591,засуха,-1
592,затмевать,-1
593,затормаживать,-1
594,затрата,0
595,затруднять,-1
596,затягивание,-1
597,захват,-1
598,зашедший в тупик,-2
599,защита прав,1
600,защитные меры,1
601,заявка,0
602,заём,0
603,заёмное средство,0
604,здоровый образ жизни,1
605,здравоохраниение,1
606,зеленая облигация,0
607,земельный участок,0
608,зло,-1
609,злоба,-1
610,злобно,-1
611,злонамеренный,-1
612,злоупотребление,-1
613,злоупотребление властью,-2
614,злоупотреблять,-1
615,знакомый,1
616,знание,1
617,значительно,0
618,значительный,1
619,золотая акция,0
620,зрелость,1
621,зрелый,1
622,игнорировать,-1
623,идеально,2
624,избегать,-1
625,избыток,1
626,избыток предложения,-1
627,избыточная мощность,-1
628,извергать,-1
629,известный,1
630,извилистый,0
631,извращённый,-2
632,изгнание,-2
633,издевательство,-2
634,изделие,0
635,излишек,0
636,излишне,-1
637,изменение,0
638,изменение доли,0
639,изменение климата,-2
640,изменение процентной ставки,0
641,изменение условий сделки,-1
642,изменчивость,0
643,изнурительный,-1
644,изобретатель,1
645,изобретательность,1
646,изобретать,1
647,изобретение,1
648,изъятие имущества,-2
649,именная акция,0
650,иметься в продаже,0
651,императивный,-1
652,импорт,0
653,импорт сырья,0
654,импортирование сырья,0
655,имущество,0
656,имущий,1
657,инакомыслие,-1
658,инакомыслящий,-1
659,инвестирование,1
660,инвестиционная деятельность,1
661,инвестиционная программа,1
662,инвестиционный,1
663,инвестиционный бизнес,1
664,инвестиционный комлекс,1
665,инвестиционный портфель,1
666,инвестиционный проект,1
667,инвестиция,1
668,индекс ,0
669,индекс снизился при открытии,-1
670,индивидуализировать,1
671,индивидуальный предпринимательская инициатива,1
672,индикатор ,0
673,инициатива,1
674,инкубатор технологий,0
675,инноватика,0
676,инноватор,1
677,инновационная деятельность,0
678,инновационная фирма,1
679,инновационная экономика,1
680,инновационное развитие,1
681,инновационный,1
682,инновационный потенциал,1
683,инновационный процесс,1
684,инновационный фонд,0
685,инновация,1
686,иностранная валюта,0
687,иностранный,0
688,инсайдер,0
689,инструмент,0
690,интеллект,0
691,интеллектуальная собственность,1
692,интеллектуальное решение,1
693,интеллектуальный,1
694,интенсификация воспроизводственного процесса,1
695,интересный,1
696,интересы общества,1
697,интернет,0
698,интернет-банк,0
699,интрига,-1
700,инфляция,-1
701,информативный,1
702,информатизация,1
703,информационная кампания,0
704,информационные технологии,1
705,информационный,0
706,информация,1
707,инфраструктура,0
708,инцидент,-1
709,ипотечный,0
710,ипотечный кредит,0
711,искажать,-1
712,искажение,-1
713,искажение информации,-2
714,искажено,-1
715,исключать,-1
716,исключение,-1
717,исключительность,1
718,искусственно,-1
719,исполние,1
720,исполнительная власть,0
721,исполнительный,0
722,исполнительный орган,0
723,использование,0
724,использование запасов,0
725,использование карты,0
726,использованный,0
727,испорченный,-1
728,исправимый,1
729,исправительное учреждение,-1
730,исправлять,1
731,исправность,1
732,исправный,1
733,исследование,1
734,исследовательский институт,0
735,исследовать,1
736,истец,0
737,истечение,-1
738,историческая доходность,0
739,источник,0
740,источник дохода,0
741,источник накопления капитала,0
742,источник энергии,0
743,истощать,-1
744,истощение,-1
745,исчезать,-1
746,исчезающий вид,-1
747,исчезновение,-1
748,итоги года,0
749,кандидат экономических наук,1
750,капитал,0
751,капиталоёмкий,1
752,капитальное вложение,0
753,каприз,-1
754,карательный,-1
755,карта банка,0
756,катаклизм,-2
757,катастрофа,-2
758,катастрофический,-2
759,качественно новый уровень,1
760,качественное улучшение,1
761,качество,1
762,качество жизни,1
763,качество образования,1
764,квалифицированный,1
765,квартал ,0
766,кибератака,-2
767,кибербуллинг,-2
768,киберпреступление,-2
769,киберпреступник,-1
770,киберпреступность,-1
771,кластер,0
772,клевета,-1
773,клеветать,-1
774,клиент ,0
775,климат,0
776,ключевой,1
777,ключевой показатель эффективности,1
778,кодекс,0
779,кодекс корпоративного поведения,0
780,кодекс корпоративного управления,0
781,колебание цен,-1
782,колл-центр,0
783,коллапс,-2
784,коллега,0
785,комиссия,0
786,комитет,0
787,коммерциализация технологий,0
788,коммерческий банк,0
789,компания,0
790,компенсация,1
791,компенсация расходов,1
792,компенсировать,1
793,компетентно,1
794,компетентность,1
795,компетентный,1
796,компетенции совета директоров,0
797,компетенция,1
798,комплекс,0
799,комплекс мероприятий,0
800,компьютер,0
801,комфортные условия,1
802,конец отчётного периода,0
803,конкурентный,1
804,конкурентоспособность,1
805,конкурентоспособный,1
806,конкуренция,1
807,конкурс,1
808,конкурсный,1
809,консолидированная отчётность,0
810,консолидированная финансовая отчётность,0
811,консолидированный отчёт,0
812,консолидировать,0
813,конструктивно,1
814,контрагент,0
815,контракт,0
816,контрмера,-1
817,контролируемый,1
818,контроль,0
819,контроль управления,0
820,конфискация,-2
821,конфисковывать,-2
822,конфликт,-1
823,конфликт интересов,-1
824,конфронтационный,-1
825,конфронтация,-1
826,концепция,0
827,концессионное соглашение,1
828,кончина,-2
829,короткая позиция,0
830,корпоративная социальная ответственность,1
831,корпоративное управление,0
832,корпоративны риск,-1
833,корпоративный,0
834,корпоративный клиент,0
835,корпоративный отчёт,0
836,корректировать,1
837,корректировка внутреннего рынка,0
838,корреспондентский ,0
839,коррупция,-2
840,котировка,0
841,коэффициент ,0
842,краткосрочное обязательство,0
843,краткосрочный,0
844,кратскосрочный кредит,0
845,креативность,1
846,кредит,0
847,кредитная история,0
848,кредитная карта,0
849,кредитная операция,0
850,кредитная организация,0
851,кредитное предложение,0
852,кредитный,0
853,кредитный ,0
854,кредитный договор,0
855,кредитный портфель,0
856,кредитный рейтинг,0
857,кредитный риск,-1
858,кредитование,0
859,кредитование субъектов мсп,0
860,кредитор ,0
861,кредиторская задолженность,0
862,кризис,-2
863,кризисная ситуация,-2
864,кризисный,-2
865,критика,-1
866,критиковать,-1
867,критически,-1
868,критический,-1
869,крупная сделка,1
870,крупный,1
871,культура,1
872,купля продажа,0
873,купон,0
874,купонная облигация,0
875,купонный доход,1
876,курс,0
877,курс валюты,0
878,курсовая разница,0
879,кэшбэк,1
880,лаборатория,0
881,лабораторный,0
882,легализация ,1
883,легализовывать,1
884,легко,1
885,легкомысленно,-1
886,легкомысленный,-1
887,легче,1
888,лжесвидетельство,-2
889,лживый,-2
890,лизинговый,0
891,ликвидатор,-1
892,ликвидация ,-1
893,ликвидация ущерба,1
894,ликвидировать,-1
895,ликвидность,1
896,ликвидный,1
897,ликвидный ,1
898,линия,0
899,листинг,0
900,лицензионный,1
901,лицензировать,1
902,лицензия ,1
903,лицо,0
904,лишать,-1
905,лишать свободы,-2
906,лишение,-1
907,лишение свободы,-2
908,ложно,-1
909,ложное заявление,-1
910,ложный,-1
911,лояльно,1
912,лояльность,1
913,лояльность к бренду,1
914,лояльность к товару,1
915,лояльность к фирме,1
916,лояльность потребителей,1
917,лояльный,1
918,лучше,1
919,льгота,1
920,льготная кредитная ставка,1
921,льготное кредитование,1
922,льготное кредитование субъектов,1
923,льготный,1
924,льготный кредит,1
925,магазин,0
926,магистральный нефтепровод,0
927,макропруденциальный,0
928,макроэкономика,0
929,макроэкономический,0
930,максимизация полезности,0
931,малое и среднее предпринимательство,0
932,малый бизнес,0
933,малый и средний бизнес,0
934,манипулировать,-1
935,манипуляция,-1
936,маржа,0
937,маржинальная торговля,0
938,маркетинг,0
939,массовое производство,0
940,материальный,0
941,материальный актив,1
942,медленно,-1
943,медленный,-1
944,медлительность,-1
945,межбанковский ,0
946,международная конкуренция,0
947,международная торговля,0
948,международная экономика,0
949,международное разделение труда,0
950,международные экономические отношения,0
951,международный ,0
952,международный обмен товарами,0
953,международный стандарт,0
954,международный торговля,0
955,мелкий,-1
956,менеджмент,0
957,мера государственной поддержки,1
958,мера поддержки,1
959,мероприятие,0
960,мероприятие ,1
961,местное самоуправление,0
962,местные жители,0
963,местные сообщества,0
964,местный,0
965,местный бюджет,0
966,месторождение,0
967,месторождение газа,0
968,металл,0
969,методика расчёта показателей,0
970,механизм деловой трансформации,1
971,мешать,-1
972,микропруденциальный,0
973,микроэкономика,0
974,мировая экономика,0
975,мировое хозяйство,0
976,мировой,0
977,мировой рынок,0
978,митингующий,-1
979,многосторонняя торговая система,0
980,мобильное приложение,0
981,могущественное влияние,2
982,модель внешней торговли,0
983,модернизация,1
984,молодой специалист,0
985,мониторинг ,1
986,монополизация,-2
987,монополизировать,-2
988,монополист,-2
989,монополистический,-2
990,монополия,-2
991,мораторий,-1
992,московская биржа,0
993,мотивированный ,1
994,мочь ,1
995,мошеник,-1
996,мошеннический,-1
997,мошенничество,-1
998,мощность,0
999,мощность оборудования,0
1000,мощность электрической энергии,0
1001,мрачный,-2
1002,мсфо,0
1003,муниципальный,0
1004,наблюдаемый,0
1005,наблюдательный,0
1006,наблюдательный совет,0
1007,наблюдательный совет банка,0
1008,наблюдать,0
1009,наблюдение,0
1010,навязанный,-1
1011,навязывание,-1
1012,навязывать,-1
1013,награда,1
1014,надбавка,1
1015,надежный,1
1016,надзор ,0
1017,надзорный ,0
1018,надоедать,-1
1019,надстраивать,0
1020,надёжность,1
1021,надёжный,1
1022,наиболее важный,2
1023,наиболее слабый,-1
1024,наихудший,-2
1025,наказание,-1
1026,наказывать,-1
1027,накопление капитала,0
1028,накопленный купонный доход,0
1029,налагать вето,-1
1030,налог,0
1031,налог на прибыль,0
1032,налоговая политика,0
1033,налоговая ставка,0
1034,налоговое обязательство,0
1035,налоговое право,0
1036,налоговые каникулы,1
1037,налоговые льготы,1
1038,налоговый,0
1039,налоговый актив,0
1040,намеренно,-1
1041,намеренный,-1
1042,нападать,-1
1043,нападение,-1
1044,направление,0
1045,направление бизнеса ,0
1046,направление деятельности,0
1047,направление политики,0
1048,направлять,-1
1049,напряжение,-1
1050,напряженный,-1
1051,нарушать,-1
1052,нарушение,-1
1053,нарушитель,-1
1054,население,0
1055,насилие,-2
1056,насильственный,-2
1057,настаивать,-1
1058,настоящий,1
1059,наука,0
1060,наукоёмкий,1
1061,научно-техническая сфера,0
1062,научно-технический,0
1063,научный,0
1064,национальная инновационная система,1
1065,национальная конкурентоспособность,1
1066,национальное хозяйство,0
1067,национальный,0
1068,национальный проект,0
1069,ндс,0
1070,небрежно,-1
1071,небрежность,-1
1072,негативно,-2
1073,негативное воздействие,-2
1074,негативный,-2
1075,недвижимое имущество,0
1076,независимый аудит,0
1077,независимый директор,0
1078,независимый комитет,0
1079,нематериальный актив,0
1080,необходимость,0
1081,непроизвольный,0
1082,непрофильный актив,0
1083,нераспределенная прибыль,0
1084,несчастный случай,-2
1085,несчастье,-2
1086,нефтепровод,0
1087,нефтепродукт,0
1088,нефть,0
1089,низкий уровень цен,1
1090,низкооплачиваемый,-1
1091,низший,-1
1092,ниокр,0
1093,нисходящий,-1
1094,ничего не зная,-1
1095,новатор,1
1096,новаторство,1
1097,новая карта,1
1098,новая технология,1
1099,новизна,1
1100,нововведение,1
1101,новое рабочее место,1
1102,новшество,1
1103,новый,0
1104,новый уровень,1
1105,номинальная стоимость акции,0
1106,номинальный стоимость,0
1107,норма обязательных резервов,0
1108,нормальный,1
1109,норматив ,0
1110,нормативный,0
1111,нормативный акт,0
1112,нпф,0
1113,нужный,1
1114,обвинение,-1
1115,обвинительный акт,-1
1116,обвинять,-1
1117,обезвреживание отходов,1
1118,обескураживать,2
1119,обеспечение ,0
1120,обеспечивать ,1
1121,обеспечивать выполнение,1
1122,обеспокоенный,-1
1123,обесценение,-1
1124,обесценивать,-1
1125,обещание,0
1126,область,0
1127,область охраны труда,1
1128,облигация,0
1129,обличать,-1
1130,обман,-1
1131,обманчиво,-1
1132,обманчивость,-1
1133,обманчивый,-1
1134,обманывать,-1
1135,обмен,0
1136,обмен капиталом,0
1137,обмен товарами,0
1138,обмен трудом,0
1139,обмен услугами,0
1140,обменный курс,0
1141,обнадёживающий,1
1142,обнаруженный,1
1143,обнаружимый,1
1144,обновление,1
1145,обновление жилого фонда,1
1146,обогащение,1
1147,оборот ,0
1148,оборотный актив,0
1149,оборудование,0
1150,обоснованно,1
1151,обоснованный,1
1152,обострение,-1
1153,обострять,-1
1154,обрабатывающая отрасль,0
1155,обрабатывающая отрасль промышленности,0
1156,обрабатывающая промышленность,0
1157,образование,0
1158,образовательный,1
1159,образцовый,1
1160,обратимый,1
1161,обратная инновация,0
1162,обращать внимание,0
1163,обращаться,0
1164,обращение,0
1165,обращение с отходами,1
1166,обременение,-1
1167,обременительный,-1
1168,обременять,-1
1169,обрывистый,-1
1170,обслуживание,0
1171,обслуживание долга,0
1172,обсуждать,0
1173,обсуждение,0
1174,обузданный,1
1175,обучение,1
1176,общая сумма сделки,0
1177,общее годовое собрание,0
1178,общее собрание,0
1179,общее собрание акционеров,0
1180,общество,0
1181,общий объем,0
1182,объединение,0
1183,объект,0
1184,объект международной экономики,0
1185,объявление взносов,0
1186,объявленный,1
1187,объявлять финансовый результат,0
1188,объём ,0
1189,объём добычи,0
1190,объём инвестиций,0
1191,объём информации,0
1192,объём капитала,0
1193,объём реализаии,0
1194,объём товарной массы,0
1195,объём торгов,0
1196,объём услуг,0
1197,обыкновенная акция,0
1198,обыкновенная именная акция,0
1199,обязанность,0
1200,обязательно,0
1201,обязательное требование,-1
1202,обязательный,0
1203,обязательство,0
1204,обязывать,-1
1205,оговаривать,0
1206,оговорка,-1
1207,ограничение,-1
1208,ограничение на экспорт,-1
1209,ограничивать,-1
1210,ограничитель,-1
1211,ограничительно,-1
1212,однозначность,1
1213,однородная продуция,0
1214,одобрение,1
1215,одобрение крупной сделки,1
1216,одобрение совета директоров,1
1217,одобрительный,1
1218,одобрять,1
1219,одобрять решение,1
1220,ожидание инвесторов,0
1221,озеленение,1
1222,оказание услуг,0
1223,оклеветать,-1
1224,окончательно,0
1225,окружающая среда,0
1226,окружающий,0
1227,окупаемость,0
1228,омрачать,-1
1229,онлайн,1
1230,опасно,-1
1231,опасность,-1
1232,опасные отходы,-1
1233,опасный,-1
1234,операционная деятельность,0
1235,операционные затраты,0
1236,операционный ,0
1237,операционный доход,0
1238,операционный расход,0
1239,операция ,0
1240,операция по кредиту,0
1241,оплата,0
1242,оплата труда,0
1243,оплаченный,1
1244,оплошность,-1
1245,оповещение,0
1246,опозоренный,-2
1247,оппозиция,-1
1248,оппортунизм,-1
1249,оппортунистически,-1
1250,оппортунистический,-1
1251,оправдание,-1
1252,оправданно,1
1253,оправдательные приговоры,1
1254,оправдывать,0
1255,оправдывающее обстоятельство,1
1256,определение размера вознаграждения,1
1257,определенность,1
1258,определимый,1
1259,опрометчиво,-1
1260,опрошенный,0
1261,оптимистичный,1
1262,оптовая торговля,0
1263,оптовый рынок,0
1264,опустошение,-1
1265,опыт реализации проекта,1
1266,опытность,1
1267,опытный,1
1268,орган,0
1269,орган власти,0
1270,орган управления ,0
1271,организация,0
1272,освобождать,1
1273,освобождение,-1
1274,освобождение от долга,1
1275,освобождение от обязательств,1
1276,оскорбительно,-2
1277,оскорбительность,-2
1278,оскорбительный,-2
1279,ослабление,-1
1280,ослаблять,-1
1281,осложнение,-1
1282,осложнять,-1
1283,основной вид деятельности,0
1284,основные средства,0
1285,особое внимание,1
1286,оспаривать,-1
1287,останавливать,0
1288,остановка,-1
1289,остаток ,0
1290,осторожно,1
1291,осторожность,1
1292,осторожный,1
1293,осуждать,-1
